6.1101,1
5.5277,0
8.5186,1
7.0032,1
5.8598,0
8.3829,1
7.4764,1
8.5781,1
6.4862,0
5.0546,0
5.7107,0
14.164,1
5.734,30
8.4084,1
5.6407,0
5.3794,0
6.3654,0
5.1301,0
6.4296,0
7.0708,1
6.1891,0
20.27,1
5.4901,0
6.3261,0
5.5649,0
18.945,1
12.828,1
10.957,1
13.176,1
22.203,1
5.2524,0
6.5894,0
9.2482,1
5.8918,0
8.2111,1
7.9334,1
8.0959,1
5.6063,0
12.836,1
6.3534,0
5.4069,0
6.8825,0
11.708,1
5.7737,0
7.8247,1
7.0931,1
5.0702,0
5.8014,0
11.7,1
5.5416,0
7.5402,1
5.3077,0
7.4239,1
7.6031,1
6.3328,0
6.3589,0
6.2742,0
5.6397,0
9.3102,1
9.4536,1
